Payment_Name,SM_Transmission_Date_ACH_File__c,Amount,Source_File
PY-01539956,2023-12-14,76.94,ACH_20231214.csv
PY-01539957,2023-12-14,88.09,ACH_20231214.csv
PY-01539958,2023-12-14,54.64,ACH_20231214.csv
PY-01539959,2024-01-29,54.64,ACH_20240129.csv
PY-01539960,2023-12-14,54.64,ACH_20231214.csv
PY-01539961,2024-02-08,54.64,ACH_20240208.csv
PY-01539962,2023-12-14,54.64,ACH_20231214.csv
PY-01539963,2023-12-14,54.64,ACH_20231214.csv
PY-01539964,2023-12-14,54.64,ACH_20231214.csv
PY-01539965,2023-12-14,83.63,ACH_20231214.csv
PY-01539966,2023-12-14,76.94,ACH_20231214.csv
PY-01539967,2024-01-29,76.94,ACH_20240129.csv
PY-01539968,2023-12-14,83.63,ACH_20231214.csv
PY-01539969,2023-12-14,76.94,ACH_20231214.csv
PY-01539970,2023-12-14,76.94,ACH_20231214.csv
PY-01539971,2023-12-14,76.94,ACH_20231214.csv
PY-01539972,2023-12-14,76.94,ACH_20231214.csv
PY-01539973,2023-12-14,76.94,ACH_20231214.csv
PY-01539974,2023-12-14,54.64,ACH_20231214.csv
PY-01539975,2023-12-14,54.64,ACH_20231214.csv
PY-01539976,2023-12-14,88.09,ACH_20231214.csv
PY-01539977,2023-12-14,88.09,ACH_20231214.csv
PY-01539978,2024-01-29,88.09,ACH_20240129.csv
PY-01539979,2023-12-14,88.09,ACH_20231214.csv
PY-01539980,2023-12-14,76.94,ACH_20231214.csv
PY-01539981,2024-02-08,88.09,ACH_20240208.csv
PY-01539982,2024-02-08,88.09,ACH_20240208.csv
PY-01539983,2023-12-14,88.09,ACH_20231214.csv
PY-01539984,2023-12-14,54.64,ACH_20231214.csv
PY-01539985,2023-12-14,54.64,ACH_20231214.csv
PY-01539986,2023-12-14,54.64,ACH_20231214.csv
PY-01539987,2024-01-29,54.64,ACH_20240129.csv
PY-01539988,2023-12-14,54.64,ACH_20231214.csv
PY-01539989,2023-12-14,54.64,ACH_20231214.csv
PY-01539990,2023-12-14,88.09,ACH_20231214.csv
PY-01539991,2023-12-14,88.09,ACH_20231214.csv
PY-01539992,2023-12-14,88.09,ACH_20231214.csv
PY-01539993,2023-12-14,88.09,ACH_20231214.csv
PY-01539994,2023-12-14,54.64,ACH_20231214.csv
PY-01539995,2023-12-14,88.09,ACH_20231214.csv
PY-01539996,2023-12-14,83.63,ACH_20231214.csv
PY-01539997,2023-12-14,76.94,ACH_20231214.csv
PY-01539998,2023-12-14,76.94,ACH_20231214.csv
PY-01539999,2023-12-14,76.94,ACH_20231214.csv
PY-01540000,2023-12-14,83.63,ACH_20231214.csv
PY-01540001,2024-01-29,76.94,ACH_20240129.csv
PY-01540002,2023-12-14,76.94,ACH_20231214.csv
PY-01540003,2023-12-14,88.09,ACH_20231214.csv
PY-01540004,2024-02-08,76.94,ACH_20240208.csv
PY-01540005,2023-12-14,76.94,ACH_20231214.csv
PY-01540006,2023-12-14,76.94,ACH_20231214.csv
PY-01540007,2023-12-14,76.94,ACH_20231214.csv
PY-01540008,2023-12-14,76.94,ACH_20231214.csv
PY-01540009,2024-01-29,88.09,ACH_20240129.csv
PY-01540010,2023-12-14,76.94,ACH_20231214.csv
PY-01540011,2023-12-14,88.09,ACH_20231214.csv
PY-01540012,2023-12-14,88.09,ACH_20231214.csv
PY-01540013,2023-12-14,88.09,ACH_20231214.csv
PY-01540014,2023-12-14,76.94,ACH_20231214.csv
PY-01540015,2023-12-14,76.94,ACH_20231214.csv
PY-01540016,2023-12-14,54.64,ACH_20231214.csv
PY-01540017,2023-12-14,76.94,ACH_20231214.csv
PY-01540018,2023-12-14,76.94,ACH_20231214.csv
PY-01540019,2023-12-14,76.94,ACH_20231214.csv
PY-01540020,2023-12-14,83.63,ACH_20231214.csv
PY-01540021,2023-12-14,76.94,ACH_20231214.csv
PY-01540022,2023-12-14,76.94,ACH_20231214.csv
PY-01540023,2023-12-14,76.94,ACH_20231214.csv
PY-01540024,2023-12-14,88.09,ACH_20231214.csv
PY-01540025,2024-02-08,76.94,ACH_20240208.csv
PY-01540026,2024-02-08,76.94,ACH_20240208.csv
PY-01540027,2024-02-08,76.94,ACH_20240208.csv
PY-01540028,2024-02-08,76.94,ACH_20240208.csv
PY-01540029,2023-12-14,76.94,ACH_20231214.csv
PY-01540030,2023-12-14,76.94,ACH_20231214.csv
PY-01540031,2024-02-08,76.94,ACH_20240208.csv
PY-01540032,2023-12-14,76.94,ACH_20231214.csv
PY-01540033,2023-12-14,76.94,ACH_20231214.csv
PY-01540034,2023-12-14,76.94,ACH_20231214.csv
PY-01540035,2023-12-14,76.94,ACH_20231214.csv
PY-01540036,2024-01-29,76.94,ACH_20240129.csv
PY-01540037,2023-12-14,76.94,ACH_20231214.csv
PY-01540038,2023-12-14,76.94,ACH_20231214.csv
PY-01540039,2023-12-14,76.94,ACH_20231214.csv
PY-01540040,2023-12-14,88.09,ACH_20231214.csv
PY-01540041,2023-12-14,88.09,ACH_20231214.csv
PY-01540042,2024-02-08,98.49,ACH_20240208.csv
PY-01540043,2024-01-29,111.50,ACH_20240129.csv
PY-01540044,2023-12-14,88.09,ACH_20231214.csv
PY-01540045,2023-12-14,44.03,ACH_20231214.csv
PY-01540046,2023-12-14,76.94,ACH_20231214.csv
PY-01540047,2023-12-14,76.94,ACH_20231214.csv
PY-01540048,2023-12-14,76.94,ACH_20231214.csv
PY-01540049,2023-12-14,44.03,ACH_20231214.csv
PY-01540050,2023-12-14,76.94,ACH_20231214.csv
PY-01540051,2023-12-14,76.94,ACH_20231214.csv
PY-01540052,2023-12-14,88.09,ACH_20231214.csv
PY-01540053,2023-12-14,44.03,ACH_20231214.csv
PY-01540054,2024-02-08,154.99,ACH_20240208.csv
PY-01540055,2024-01-29,88.09,ACH_20240129.csv
PY-01540056,2023-12-14,76.94,ACH_20231214.csv
PY-01540057,2023-12-14,76.94,ACH_20231214.csv
PY-01540058,2024-02-08,44.03,ACH_20240208.csv
PY-01540059,2023-12-14,88.09,ACH_20231214.csv
PY-01540060,2023-12-14,88.09,ACH_20231214.csv
PY-01540061,2023-12-14,88.09,ACH_20231214.csv
PY-01540062,2024-02-08,88.09,ACH_20240208.csv
PY-01540063,2023-12-14,88.09,ACH_20231214.csv
PY-01540064,2023-12-14,88.09,ACH_20231214.csv
PY-01540065,2023-12-14,88.09,ACH_20231214.csv
PY-01540066,2023-12-14,88.09,ACH_20231214.csv
PY-01540067,2024-01-29,104.81,ACH_20240129.csv
PY-01540068,2023-12-14,83.63,ACH_20231214.csv
PY-01540069,2023-12-14,115.96,ACH_20231214.csv
PY-01540070,2024-01-29,88.09,ACH_20240129.csv
PY-01540071,2023-12-14,88.09,ACH_20231214.csv
PY-01540072,2023-12-14,88.09,ACH_20231214.csv
PY-01540073,2023-12-14,88.09,ACH_20231214.csv
PY-01540074,2023-12-14,115.96,ACH_20231214.csv
PY-01540075,2023-12-14,88.09,ACH_20231214.csv
PY-01540076,2023-12-14,88.09,ACH_20231214.csv
PY-01540077,2024-02-08,88.09,ACH_20240208.csv
