Priority,Payment_Name,ContractNumber,SM_ACH_Order__c,Amount,Current_Payment_Status__c,Current_Check_Collection_Status__c,Current_Return_code__c,Current_Check_Collection_Date__c,Expected_Payment_Status__c,Expected_Check_Collection_Status__c,Expected_Return_code__c,Expected_Return_Change__c,Report_Txn_Date,Report_Source_File,Report_Type,Reason,Section,Mismatch_Type,Accepted_By_Timeout_Routine,Is_Test_or_VIP_Contract,LastModifiedDate,SM_Historical_Collection_Status__c,Estado_Aplicado
T4_SUBESTADO_MENOR,PY-01771825,00314314,a04UU00000FbSsoYAF,114,REJECTED,PENDING,,2025-12-31,REJECTED,NOT_COLLECTED,,,2025-12-31,Check Collections Jan 9-12 2026.pdf,collections,PASTDUE DATE,NOT COLLECTED,OTRO_DESAJUSTE,False,False,2026-09-09T15:01:15.000+0000,PRC_AUT: PENDING //,APLICADO 2026-09-22
T4_SUBESTADO_MENOR,PY-01771831,00314977,a04UU00000FeqIeYAJ,104,REJECTED,PENDING,,2025-12-31,REJECTED,NOT_COLLECTED,,,2025-12-31,Check Collections Jan 9-12 2026.pdf,collections,PASTDUE DATE,NOT COLLECTED,OTRO_DESAJUSTE,False,False,2026-09-09T15:01:15.000+0000,PRC_AUT: PENDING //,APLICADO 2026-09-22
T4_SUBESTADO_MENOR,PY-01771838,00315308,a04UU00000FpXirYAF,79,REJECTED,PENDING,,2025-12-31,REJECTED,NOT_COLLECTED,,,2025-12-31,Check Collections Feb 13 2026.pdf,collections,PASTDUE DATE,NOT COLLECTED,OTRO_DESAJUSTE,False,False,2026-09-09T15:01:15.000+0000,PRC_AUT: PENDING //,APLICADO 2026-09-22
T4_SUBESTADO_MENOR,PY-01771847,00315195,a04UU00000G0SJFYA3,104,REJECTED,PENDING,,2025-12-31,REJECTED,NOT_COLLECTED,,,2025-12-31,Check Collections Feb 13 2026.pdf,collections,PASTDUE DATE,NOT COLLECTED,OTRO_DESAJUSTE,False,False,2026-09-09T15:01:15.000+0000,PRC_AUT: PENDING //,APLICADO 2026-09-22
T4_SUBESTADO_MENOR,PY-01771849,00315110,a04UU00000G4qBhYAJ,104,REJECTED,PENDING,,2025-12-31,REJECTED,NOT_COLLECTED,,,2025-12-31,Check Collections Feb 13 2026.pdf,collections,PASTDUE DATE,NOT COLLECTED,OTRO_DESAJUSTE,False,False,2026-09-09T15:01:15.000+0000,PRC_AUT: PENDING //,APLICADO 2026-09-22
T4_SUBESTADO_MENOR,PY-01771854,00312894,a04UU00000G7BvBYAV,104,REJECTED,PENDING,,2025-12-31,REJECTED,NOT_COLLECTED,,,2025-12-31,Check Collections Feb 13 2026.pdf,collections,PASTDUE DATE,NOT COLLECTED,OTRO_DESAJUSTE,False,False,2026-09-09T15:01:15.000+0000,PRC_AUT: PENDING //,APLICADO 2026-09-22
T4_SUBESTADO_MENOR,PY-01771855,00314896,a04UU00000G7BwnYAF,104,REJECTED,PENDING,,2025-12-31,REJECTED,NOT_COLLECTED,,,2025-12-31,Check Collections Feb 13 2026.pdf,collections,PASTDUE DATE,NOT COLLECTED,OTRO_DESAJUSTE,False,False,2026-09-09T15:01:15.000+0000,PRC_AUT: PENDING //,APLICADO 2026-09-22
T4_SUBESTADO_MENOR,PY-01771877,00314484,a04UU00000GDlfpYAD,100,REJECTED,PENDING,,2025-12-31,REJECTED,NOT_COLLECTED,,,2025-12-31,Check Collections Feb 13 2026.pdf,collections,PASTDUE DATE,NOT COLLECTED,OTRO_DESAJUSTE,False,False,2026-09-09T15:01:15.000+0000,PRC_AUT: PENDING //,APLICADO 2026-09-22
T4_SUBESTADO_MENOR,PY-01771889,00314977,a04UU00000GNCYlYAP,104,REJECTED,PENDING,,2025-12-31,REJECTED,NOT_COLLECTED,,,2025-12-31,Check Collections Jan 9-12 2026.pdf,collections,PASTDUE DATE,NOT COLLECTED,OTRO_DESAJUSTE,False,False,2026-09-09T15:01:15.000+0000,PRC_AUT: PENDING //,APLICADO 2026-09-22
T4_SUBESTADO_MENOR,PY-01771891,00312640,a04UU00000GNgQLYA1,104,REJECTED,PENDING,,2025-12-31,REJECTED,NOT_COLLECTED,,,2025-12-31,Check Collections Jan 13 2026.pdf,collections,R08 STOP PAYMENT,NOT COLLECTED,OTRO_DESAJUSTE,False,False,2026-09-09T15:01:15.000+0000,PRC_AUT: PENDING //,APLICADO 2026-09-22
T4_SUBESTADO_MENOR,PY-01772319,00316212,a04UU00000GnywHYAR,25,REJECTED,PENDING,,2026-01-06,REJECTED,NOT_COLLECTED,,,2026-01-06,Check Collections Jan 20 2026.pdf,collections,PASTDUE DATE,NOT COLLECTED,OTRO_DESAJUSTE,False,False,2026-09-09T15:04:14.000+0000,PRC_AUT: PENDING //PRC_AUT: RETURN //,APLICADO 2026-09-22
