ContractNumber;Status;Invoice;Invoice Status;Subscription;Subscription Status;Payment (Asociados al Invoice);Payment Status
00315820;Cancelled;7159;PAID;AzqcxEVKkaBik1sy8;CANCELLED;6;REJECTED x6
00315820;Cancelled;7396;PAID;AzqcxEVKkaBik1sy8;CANCELLED;5;REJECTED x5
00315987;Cancelled;2506;PAID;AzZVXjVKl4J8x2Ke3;CANCELLED;16;REJECTED x16
00315987;Cancelled;4618;PAID;AzZVXjVKl4J8x2Ke3;CANCELLED;9;REJECTED x9
00315987;Cancelled;4672;PAID;AzZVXjVKl4J8x2Ke3;CANCELLED;8;REJECTED x8
00315987;Cancelled;6938;PAID;AzZVXjVKl4J8x2Ke3;CANCELLED;3;REJECTED x3
00315987;Cancelled;7029;PAID;AzZVXjVKl4J8x2Ke3;CANCELLED;2;REJECTED x2
00316314;Cancelled;5597;PAID;AzqQDjVKljE2i2T6o;CANCELLED;1;REJECTED x1
00316314;Cancelled;6029;PAID;AzqQDjVKljE2i2T6o;CANCELLED;1;REJECTED x1
00316530;Cancelled;4614;PAID;6oqUjVKlBVJr2Nz7;CANCELLED;8;REJECTED x8
00316530;Cancelled;6934;PAID;6oqUjVKlBVJr2Nz7;CANCELLED;2;REJECTED x2
00316333;Activated;1231;PAID;AzqK7EVKpMdF71JAe;ACTIVE;10;REJECTED x9, ACCEPTED x1
00316446;Cancelled;2504;PAID;AzyXPUVKlBQuB2OQY;CANCELLED;16;REJECTED x16
00316446;Cancelled;4621;PAID;AzyXPUVKlBQuB2OQY;CANCELLED;9;REJECTED x9
00316446;Cancelled;4691;PAID;AzyXPUVKlBQuB2OQY;CANCELLED;9;REJECTED x9
00316079;Cancelled;1096;PAID;AzZQfvVKkcBng1uB3;CANCELLED;11;REJECTED x11
00316079;Cancelled;1097;PAID;AzZQfvVKkcBng1uB3;CANCELLED;9;REJECTED x9
00316079;Cancelled;2660;PAID;AzZQfvVKkcBng1uB3;CANCELLED;4;REJECTED x4
00316079;Cancelled;2825;PAID;AzZQfvVKkcBng1uB3;CANCELLED;4;REJECTED x4
00316079;Cancelled;4796;PAID;AzZQfvVKkcBng1uB3;CANCELLED;1;REJECTED x1
00316079;Cancelled;5008;PAID;AzZQfvVKkcBng1uB3;CANCELLED;3;REJECTED x3
00316079;Cancelled;7154;PAID;AzZQfvVKkcBng1uB3;CANCELLED;1;REJECTED x1
00316079;Cancelled;7409;PAID;AzZQfvVKkcBng1uB3;CANCELLED;1;REJECTED x1
00316333;Activated;1231;PAID;AzqK7EVKpMdF71JAe;ACTIVE;10;REJECTED x9, ACCEPTED x1
00316616;Cancelled;1390;PAID;AzZTsiVKpc65F1UZs;CANCELLED;14;REJECTED x14
00316616;Cancelled;1391;PAID;AzZTsiVKpc65F1UZs;CANCELLED;13;REJECTED x13
00316616;Cancelled;1392;PAID;AzZTsiVKpc65F1UZs;CANCELLED;13;REJECTED x13
00316616;Cancelled;3075;PAID;AzZTsiVKpc65F1UZs;CANCELLED;3;REJECTED x3
