Payment_Name,Resultado,Ultimo_Estado_Indice,Fecha,Archivo_Origen,Fuente
PY-01888273,CONSISTENTE_PENDING,PENDING,2026-08-27,CheckCollectionDailyReport_08282026.pdf,Collections
PY-01888275,CONSISTENTE_PENDING,PENDING,2026-08-27,CheckCollectionDailyReport_08282026.pdf,Collections
PY-01888276,CONSISTENTE_PENDING,PENDING,2026-08-27,CheckCollectionDailyReport_08282026.pdf,Collections
PY-01888279,CONSISTENTE_PENDING,PENDING,2026-08-27,CheckCollectionDailyReport_08282026.pdf,Collections
PY-01888281,CONSISTENTE_PENDING,PENDING,2026-08-27,CheckCollectionDailyReport_08282026.pdf,Collections
PY-01888284,CONSISTENTE_PENDING,PENDING,2026-08-27,CheckCollectionDailyReport_08282026.pdf,Collections
PY-01888290,CONSISTENTE_PENDING,PENDING,2026-08-27,CheckCollectionDailyReport_08282026.pdf,Collections
PY-01888791,CONSISTENTE_PENDING,PENDING,2026-08-28,Check Collection Daily Report_08_31_2026.pdf,Collections
PY-01888793,CONSISTENTE_PENDING,PENDING,2026-08-27,CheckCollectionDailyReport_08282026.pdf,Collections
PY-01888795,CONSISTENTE_PENDING,PENDING,2026-08-31,Check Collection Daily Report_09_01_2026.pdf,Collections
PY-01888802,CONSISTENTE_PENDING,PENDING,2026-08-27,CheckCollectionDailyReport_08282026.pdf,Collections
PY-01888803,CONSISTENTE_PENDING,PENDING,2026-08-27,CheckCollectionDailyReport_08282026.pdf,Collections
PY-01888805,CONSISTENTE_PENDING,PENDING,2026-08-27,CheckCollectionDailyReport_08282026.pdf,Collections
PY-01888806,CONSISTENTE_PENDING,PENDING,2026-08-28,Check Collection Daily Report_08_31_2026.pdf,Collections
PY-01888812,CONSISTENTE_PENDING,PENDING,2026-08-31,Check Collection Daily Report_09_01_2026.pdf,Collections
PY-01888814,CONSISTENTE_PENDING,PENDING,2026-08-27,CheckCollectionDailyReport_08282026.pdf,Collections
