ContractNumber,Estado,FechaUltimaRevision,Detalle
00314628,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314651,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314679,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314687,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314703,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314714,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314727,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314751,PENDING_ACH_PAYMENT,2026-09-22,PY-01752532 en PENDING; PY-01752573 en PENDING; PY-01771794 en PENDING; PY-01771845 en PENDING; PY-01778084 en PENDING; PY-01792182 en PENDING; PY-01792184 en PENDING; PY-01792188 en PENDING; PY-01792196 en PENDING
00314758,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314759,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314764,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314812,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314831,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314881,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314896,PENDING_ACH_PAYMENT,2026-09-22,PY-01746997 en PENDING; PY-01747017 en PENDING; PY-01754246 en PENDING; PY-01771766 en PENDING; PY-01771806 en PENDING; PY-01771855 en PENDING
00314899,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314907,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314938,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314979,CANCELLED_OK,2026-09-22,ACH ya resuelto
00315002,CANCELLED_OK,2026-09-22,ACH ya resuelto
00315021,CANCELLED_OK,2026-09-22,ACH ya resuelto
00315047,CANCELLED_OK,2026-09-22,ACH ya resuelto
00315049,CANCELLED_OK,2026-09-22,ACH ya resuelto
00315060,CANCELLED_OK,2026-09-22,ACH ya resuelto
00315084,CANCELLED_OK,2026-09-22,ACH ya resuelto
00315089,CANCELLED_OK,2026-09-22,ACH ya resuelto
00315096,CANCELLED_OK,2026-09-22,ACH ya resuelto
00315157,CANCELLED_OK,2026-09-22,ACH ya resuelto
00315173,CANCELLED_OK,2026-09-22,ACH ya resuelto
00315194,CANCELLED_OK,2026-09-22,ACH ya resuelto
00315195,PENDING_ACH_PAYMENT,2026-09-22,PY-01746994 en PENDING; PY-01752554 en PENDING; PY-01752555 en PENDING; PY-01752575 en PENDING; PY-01763766 en PENDING; PY-01771764 en PENDING; PY-01771796 en PENDING; PY-01771847 en PENDING
00315223,CANCELLED_OK,2026-09-22,ACH ya resuelto
00315247,CANCELLED_OK,2026-09-22,ACH ya resuelto
00315262,CANCELLED_OK,2026-09-22,ACH ya resuelto
00315284,CANCELLED_OK,2026-09-22,ACH ya resuelto
00315297,CANCELLED_OK,2026-09-22,ACH ya resuelto
00315322,CANCELLED_OK,2026-09-22,ACH ya resuelto
00315338,CANCELLED_OK,2026-09-22,ACH ya resuelto
00259558,PENDING_ACH_PAYMENT,2026-09-22,PY-01746807 en PENDING; PY-01756611 en PENDING; PY-01756823 en PENDING; PY-01769224 en PENDING; PY-01769231 en PENDING; PY-01771576 en PENDING
00302396,PENDING_ACH_PAYMENT,2026-09-22,PY-01746804 en PENDING; PY-01756608 en PENDING; PY-01769219 en PENDING; PY-01769225 en PENDING; PY-01769233 en PENDING; PY-01770744 en PENDING; PY-01770745 en PENDING; PY-01770746 en PENDING; PY-01771573 en PENDING
00309104,PENDING_ACH_PAYMENT,2026-09-22,PY-01746830 en PENDING; PY-01756636 en PENDING; PY-01756824 en PENDING; PY-01769226 en PENDING; PY-01769235 en PENDING; PY-01770747 en PENDING; PY-01770748 en PENDING; PY-01771598 en PENDING
00309329,PENDING_ACH_PAYMENT,2026-09-22,PY-01746831 en PENDING; PY-01756637 en PENDING; PY-01756809 en PENDING; PY-01756825 en PENDING; PY-01771599 en PENDING; PY-01784731 en PENDING; PY-01784732 en PENDING; PY-01784735 en PENDING; PY-01785867 en PENDING
00310666,PENDING_ACH_PAYMENT,2026-09-22,PY-01771607 en PENDING; PY-01781554 en PENDING; PY-01781555 en PENDING; PY-01781558 en PENDING; PY-01781560 en PENDING; PY-01785875 en PENDING
00312728,PENDING_ACH_PAYMENT,2026-09-22,PY-01771645 en PENDING; PY-01785912 en PENDING
00312732,PENDING_ACH_PAYMENT,2026-09-22,PY-01777994 en PENDING; PY-01777997 en PENDING; PY-01778002 en PENDING; PY-01778016 en PENDING; PY-01781429 en RETURN
00312814,PENDING_ACH_PAYMENT,2026-09-22,PY-01771636 en PENDING; PY-01771757 en PENDING; PY-01771774 en PENDING; PY-01771814 en PENDING; PY-01771874 en PENDING; PY-01785904 en PENDING
00312894,PENDING_ACH_PAYMENT,2026-09-22,PY-01752580 en PENDING; PY-01754245 en PENDING; PY-01766907 en PENDING; PY-01771805 en PENDING; PY-01771854 en PENDING
00313120,PENDING_ACH_PAYMENT,2026-09-22,PY-01771647 en PENDING; PY-01771734 en PENDING; PY-01771748 en PENDING; PY-01771777 en PENDING; PY-01771815 en PENDING; PY-01771862 en PENDING; PY-01785914 en PENDING
00313233,PENDING_ACH_PAYMENT,2026-09-22,PY-01771660 en PENDING; PY-01771775 en PENDING; PY-01771865 en PENDING; PY-01785927 en PENDING
00313346,PENDING_ACH_PAYMENT,2026-09-22,PY-01771659 en PENDING; PY-01771786 en PENDING; PY-01771816 en PENDING; PY-01771875 en PENDING; PY-01785926 en PENDING
00313485,PENDING_ACH_PAYMENT,2026-09-22,PY-01746900 en PENDING; PY-01756705 en PENDING; PY-01756830 en PENDING; PY-01771665 en PENDING; PY-01785932 en PENDING
00313731,PENDING_ACH_PAYMENT,2026-09-22,PY-01771679 en PENDING; PY-01771850 en PENDING; PY-01771868 en PENDING; PY-01785946 en PENDING
00313775,PENDING_ACH_PAYMENT,2026-09-22,PY-01771797 en PENDING; PY-01771843 en PENDING; PY-01779112 en PENDING
00313842,PENDING_ACH_PAYMENT,2026-09-22,PY-01771678 en PENDING; PY-01771753 en PENDING; PY-01771783 en PENDING; PY-01771819 en PENDING; PY-01771869 en PENDING; PY-01785945 en PENDING
00314314,PENDING_ACH_PAYMENT,2026-09-22,PY-01746933 en PENDING; PY-01747004 en PENDING; PY-01771694 en PENDING; PY-01771781 en PENDING; PY-01771825 en PENDING; PY-01785960 en PENDING
00314360,PENDING_ACH_PAYMENT,2026-09-22,PY-01771697 en PENDING; PY-01771768 en PENDING; PY-01771776 en PENDING; PY-01771820 en PENDING
00314361,PENDING_ACH_PAYMENT,2026-09-22,PY-01746935 en PENDING; PY-01756743 en PENDING; PY-01756831 en PENDING; PY-01785961 en PENDING
00314484,PENDING_ACH_PAYMENT,2026-09-22,PY-01746687 en PENDING; PY-01756754 en PENDING; PY-01769211 en PENDING; PY-01771731 en PENDING; PY-01771771 en PENDING; PY-01771813 en PENDING; PY-01771877 en PENDING
00314585,PENDING_ACH_PAYMENT,2026-09-22,PY-01771708 en PENDING; PY-01771754 en PENDING; PY-01771784 en PENDING; PY-01771830 en PENDING; PY-01771886 en PENDING; PY-01785972 en PENDING
00314843,PENDING_ACH_PAYMENT,2026-09-22,PY-01771744 en PENDING; PY-01771767 en PENDING; PY-01771800 en PENDING; PY-01771852 en PENDING; PY-01778018 en PENDING; PY-01780218 en RETURN
00314880,PENDING_ACH_PAYMENT,2026-09-22,PY-01771743 en PENDING; PY-01771763 en PENDING; PY-01771795 en PENDING; PY-01771848 en PENDING; PY-01775807 en PENDING; PY-01778090 en PENDING
